// Athlete, Total Pay, Salary/Winnings, Endorsements, Sport
Floyd Mayweather, $105M, $105M, 0, Boxing 
Zach Randolph, $18.8M, $18.3M, .5M, Basketball 
Steven Gerrard, $18.7M, $13.2M, $5.5M, Soccer 
Jeff Gordon, $18.7M, $13.7M, $5M, Racing 
Rudy Gay, $18.6M, $17.9M, .7M, Basketball 
Larry Fitzgerald, $18.5M, $17M, $1.5M, Football 
Mesut Ozil, $18.5M, $12.5M, $6M, Soccer 
Branden Albert, $18.4M, $18.4M, $35K, Football 
Franck Ribéry, $18.3M, $16.8M, $1.5M, Soccer 
Alfonso Soriano, $18.1M, $18M, $50K, Baseball 
Jairus Byrd, $18M, $17.9M, $100K, Football 
Adam Scott, $17.7M, $8.7M, $9M, Golf 
Terrell Suggs, $17.6M, $17.4M, $200K, Football 
Brandon Marshall, $17.5M, $16.8M, .7M, Football 
Jayson Werth, $17.5M, $17.3M, $200K, Baseball 
Matt Holliday, $17.4M, $17.2M, $200K, Baseball 
Luis Suarez, $17.3M, $13.3M, $4M, Soccer 
